pineapple crushed in syrup, 20 oz. tin can|Dole Sunshine Company|1.75
pineapple crushed in juice, 20 oz. tin can|Dole Sunshine Company|2.87
pineapple chunks in juice, 20 oz. tin can|Dole Sunshine Company|1.86
Oatly Strawberry 1 pint (Plant-based Frozen Dessert)|oatly|1.35
Carbonated soft drink, aluminium can|CarbonCloud Benchmark|1.35
Thai Green Veg Curry - USA|Strong Roots|1.75
Mexican orange juice, freshly squeezed, 1L|CarbonCloud Benchmark|1.37
Mediterranean Orzo Bake - USA|Strong Roots|1.37
APPLE PIE SANDWICH COOKIES, APPLE PIE|7-Eleven, Inc.|4.61
CRUNCH BAR, STRAWBERRY|7-Eleven, Inc.|4.52
WATERMELON FLAVORED SODA, WATERMELON|7-Eleven, Inc.|2.06
HIGH PROTEIN BLUEBERRY CRUMBLE BAR, BLUEBERRY CRUMBLE|Abbott Laboratories Inc|3.33
NUTRITION BARS, COOKIES & CREAM COOKIE DOUGH|Abbott Laboratories Inc|3.33
CHOCOLATE MINT BAR, CHOCOLATE MINT|Abbott Laboratories Inc|3.33
NUTRITION BAR|Abbott Laboratories Inc|3.33
DARK CHOCOLATE ALMOND BARS, DARK CHOCOLATE ALMOND|Abbott Laboratories Inc|3.33
ORIGINAL NUTRITION SHAKE, VANILLA|Abbott Laboratories Inc|2.26
MAX PROTEIN NUTRITION SHAKE, MILK CHOCOLATE|Abbott Laboratories Inc|2.26
Chipotle Mac - USA|Strong Roots|2.36
HABANERO+LIME ROLLED TORTILLA CHIPS, HABANERO+LIME|7-Eleven, Inc.|3.99
MAX PROTEIN NUTRITION SHAKE, MILK CHOCOLATE|Abbott Laboratories Inc|2.26
COOKIE SPREAD, CHOCOLATE CREME|Ahold USA, Inc.|2.05
GIANT, SIMPLY ENJOY, PUB STYLE STONE-GROUND MUSTARD|Ahold USA, Inc.|1.19
ORGANIC CHOCOLATE CHIP COOKIES, CHOCOLATE CHIP|Ahold USA, Inc.|4.61
JUICE BEVERAGE FROM CONCENTRATE, FRUIT PUNCH|Ahold USA, Inc.|1.09
ANGEL HAIR MACARONI PRODUCT|Ahold USA, Inc.|1.32
PEANUT BUTTER & DARK CHOCOLATE NUTTY BARS, PEANUT BUTTER & DARK CHOCOLATE|Ahold USA, Inc.|3.33
ROASTED GARLIC ORGANIC PASTA SAUCE, ROASTED GARLIC|Ahold USA, Inc.|1.23
CHEF'S DICED TOMATOES IN JUICE|Alanric Food Distributors, Inc.|0.61
ROOT VEGETABLE CHIP MEDLEY WITH SEA SALT, SEA SALT|Ahold USA, Inc.|3.99
ORGANIC BLACK BEANS|Alanric Food Distributors, Inc.|1.11
CENTO, PANKO ITALIAN STYLE BREAD CRUMBS|Alanric Food Distributors, Inc.|2.05
ORGANIC LENTIL KALE & POTATO SOUP|Aldi Inc.|5.04
ORGANIC PUFFS, WHITE CHEDDAR|Aldi Inc.|7.48
SIMPLY NATURE, ORGANIC MAYONNAISE|Aldi Inc.|2.95
PUMPKIN BRIOCHE|Aldi Inc.|1.41
SPECIALLY SELECTED, ALL NATURAL BRIE CHEESE|Aldi Inc.|18.11
WHOLE GRAIN WHEAT CEREAL, ORIGINAL|Aldi Inc.|1.61
PASTA MADE FROM 100% ORGANIC DURUM WHEAT SEMOLINA, LINGUINE|Aldi Inc.|1.32
LEGACY COLLECTION WHITE OAK CHEDDAR CHEESE, WHITE OAK|Agri-Mark, Inc.|18.11
CABOT, PREMIUM MONTEREY JACK CHEESE|Agri-Mark, Inc.|18.11
WHITE CHEDDAR CHEESE, VERMONT SHARP|Agri-Mark, Inc.|18.11
PLAIN CABOT GREEK GREEK-STYLE YOGURT, PLAIN|Agri-Mark, Inc.|1.95
VERMONT STYLE COTTAGE CHEESE, VERMONT STYLE|Agri-Mark, Inc.|18.11
THERAPEUTIC NUTRITION, STRAWBERRY|Abbott Laboratories Inc|2.26
BUTTER PECAN ORIGINAL NUTRITION SHAKE, BUTTER PECAN|Abbott Laboratories Inc|2.26
MOZZARELLA LOW-MOISTURE PART-SKIM RUSTIC CUT SHREDDED CHEESE, MOZZARELLA|Agri-Mark, Inc.|18.11
ACTIVE NUTRITION SHAKE, VANILLA|Abbott Laboratories Inc|2.26
CABOT, CHEDDAR CHEESE CRACKER CUT SLICES|Agri-Mark, Inc.|18.11
Chipotle Mac - USA|Strong Roots|2.36
HABANERO+LIME ROLLED TORTILLA CHIPS, HABANERO+LIME|7-Eleven, Inc.|3.99
GIANT, OAT & QUINOA GRANOLA BARS, CHOCOLATE CHUNK, CHOCOLATE CHUNK|Ahold USA, Inc.|3.33
GIANT, TRADITIONAL PREMIUM FRANKS|Ahold USA, Inc.|10.71
GIANT, CHEDDAR PENGUINS|Ahold USA, Inc.|1.81
GIANT, CAMPANELLE|Ahold USA, Inc.|1.32
CELERY HEARTS|Ahold USA, Inc.|0.61
Black dahl - USA|Strong Roots|1.49
SPECIALLY SELECTED, KETTLE CHIPS, PANCETTA & PARMESAN, PANCETTA & PARMESAN|Aldi Inc.|3.99
TOMATO SAUCE, TOMATO|Alanric Food Distributors, Inc.|1.23
GOURMET SPREADABLE CHEESE , CHIPOTLE & TOMATO|Aldi Inc.|18.11
DARK CHOCOLATE ROYALE PROTEIN-RICH SHAKE, DARK CHOCOLATE ROYALE|Atkins Nutritionals, Inc.|1.67
CHOCOLATE CHIP FLAVORED SNACK PROTEIN COOKIES, CHOCOLATE CHIP|Atkins Nutritionals, Inc.|4.61
CHOCOLATE CANDIES TREAT, CHOCOLATE CANDIES|Atkins Nutritionals, Inc.|1.84
RICED CAULIFLOWER CASSEROLE WITH GREEN BEANS, FRIED ONIONS & MUSHROOM SAUCE RICED VEGGIES, RICED CAULIFLOWER CASSEROLE|B&G Foods North America, Inc.|4.03
CUT GREEN BEANS|B&G Foods North America, Inc.|0.92
CANADIAN BLEND STEAK SEASONING, CANADIAN BLEND|Badia Spices Inc.|39.03
MINCED GARLICS IN OLIVE OIL, MINCED GARLIC|Badia Spices Inc.|1.66
4603: Sandwich, Biscuit, Honey Whole Grain, Chicken Sausage, Cheese, Individually Wrapped. Produced in a nut-free facility.|Bake Crafters Food Company|4.03
Hamburger Buns, Whole Grain White, Sliced, 3.75"|Bake Crafters Food Company|1.41
Mini Breakfast Bites, Glazed, Whole Grain, 4 Pack|Bake Crafters Food Company|2.07
HOT SAZON CALIENTE SEASONING, HOT SAZON CALIENTE|Badia Spices Inc.|39.03
CHOCOLATE FUDGE POWER CUP BROWNIE, CHOCOLATE FUDGE|Baker Mills|2.15
JALAPENO UNLEASHED CORNBREAD, JALAPENO|Baker Mills|2.15
Italian Bread, Loaf, Thick Sliced|Bake Crafters Food Company|1.41
APRICOT SUPER FRUIT SYRUP, APRICOT|Baker Mills|1.91
OVEN ROASTED DELI STYLE TURKEY BREAST|Bar-S Foods Co.|10.71
CITRUS WASABI MARINADE|Balducci Enterprises Inc.|39.03
OVEN ROASTED DELI SHAVED TURKEY BREAST AND WHITE TURKEY, OVEN ROASTED|Bar-S Foods Co.|10.71
COTTO SALAMI|Bar-S Foods Co.|10.71
QUICHE LORRAINE BACON, SWISS CHEESE, PARMESAN CHEESE, AND ONION BAKED IN A CREAM AND EGG FILLED PIE SHELL|Balducci Enterprises Inc.|4.03
OVEN ROASTED DELI STYLE TURKEY BREAST|Bar-S Foods Co.|10.71
CITRUS WASABI MARINADE|Balducci Enterprises Inc.|39.03
OVEN ROASTED DELI SHAVED TURKEY BREAST AND WHITE TURKEY, OVEN ROASTED|Bar-S Foods Co.|10.71
COTTO SALAMI|Bar-S Foods Co.|10.71
QUICHE LORRAINE BACON, SWISS CHEESE, PARMESAN CHEESE, AND ONION BAKED IN A CREAM AND EGG FILLED PIE SHELL|Balducci Enterprises Inc.|4.03
4603: Sandwich, Biscuit, Honey Whole Grain, Chicken Sausage, Cheese, Individually Wrapped. Produced in a nut-free facility.|Bake Crafters Food Company|4.03
Hamburger Buns, Whole Grain White, Sliced, 3.75"|Bake Crafters Food Company|1.41
Mini Breakfast Bites, Glazed, Whole Grain, 4 Pack|Bake Crafters Food Company|2.07
HOT SAZON CALIENTE SEASONING, HOT SAZON CALIENTE|Badia Spices Inc.|39.03
CHEESE THIN CRUST PIZZA, CHEESE|Associated Wholesale Grocers, Inc.|4.03
FRUIT MIX IN EXTRA LIGHT SYRUP, EXTRA LIGHT SYRUP|Associated Wholesale Grocers, Inc.|1.01
ORGANIC DELUXE MACARONI AND CHEDDAR DINNER|Associated Wholesale Grocers, Inc.|4.03
ORGANIC UNSWEETENED COCONUT FLAKES|Associated Wholesale Grocers, Inc.|4.19
ORGANIC SAVORY CHEESE RISOTTO|Associated Wholesale Grocers, Inc.|2.76
ORGANIC WHEAT SQUARES CRACKERS, WHEAT SQUARES|Associated Wholesale Grocers, Inc.|1.81
RICED CAULIFLOWER CASSEROLE WITH GREEN BEANS, FRIED ONIONS & MUSHROOM SAUCE RICED VEGGIES, RICED CAULIFLOWER CASSEROLE|B&G Foods North America, Inc.|4.03
CUT GREEN BEANS|B&G Foods North America, Inc.|0.92
CANADIAN BLEND STEAK SEASONING, CANADIAN BLEND|Badia Spices Inc.|39.03
MINCED GARLICS IN OLIVE OIL, MINCED GARLIC|Badia Spices Inc.|1.66
SWEET & SALTY KETTLE CORN, SWEET & SALTY|Angie's Artisan Treats, LLC|4.19
SWEETENED WHIPPED TOPPING, ORIGINAL|Associated Wholesale Grocers, Inc.|1.14
ICE CREAM, COUNTRY VANILLA|Associated Wholesale Grocers, Inc.|4.52
LEMONADE LIQUID WATER ENHANCER, LEMONADE|Associated Wholesale Grocers, Inc.|2.06
MILD PICANTE SAUCE, MILD PICANTE|Associated Wholesale Grocers, Inc.|1.19
DARK CHOCOLATE ROYALE PROTEIN-RICH SHAKE, DARK CHOCOLATE ROYALE|Atkins Nutritionals, Inc.|1.67
CHOCOLATE CHIP FLAVORED SNACK PROTEIN COOKIES, CHOCOLATE CHIP|Atkins Nutritionals, Inc.|4.61
CHOCOLATE CANDIES TREAT, CHOCOLATE CANDIES|Atkins Nutritionals, Inc.|1.84
CHOCOLATE FUDGE POWER CUP BROWNIE, CHOCOLATE FUDGE|Baker Mills|2.15
JALAPENO UNLEASHED CORNBREAD, JALAPENO|Baker Mills|2.15
ENRICHED MACARONI PRODUCT, MINI PENNE|Barilla G and R F.Lli S.P.A.|1.32
PORK FRANKS, PORK|Bar-S Foods Co.|10.71
CREAM OF CELERY CONDENSED SOUP|Bay Valley Foods, LLC|5.04
ENRICHED MACARONI PRODUCT, MEDIUM SHELLS|Barilla G and R F.Lli S.P.A.|1.32
BARILLA, ROASTED GARLIC SAUCE|Barilla G and R F.Lli S.P.A.|1.19
ENRICHED MACARONI PRODUCT, MINI FARFALLE|Barilla G and R F.Lli S.P.A.|1.32
CHICKEN ALFREDO CREAMY ALFREDO SAUCE WITH CHICKEN & ROTINI PASTA, CHICKEN ALFREDO|Barilla G and R F.Lli S.P.A.|4.03
FETTUCCINE RIGATE|Barilla G and R F.Lli S.P.A.|1.32
SAKU BLOCKS|Beaver Street Fisheries Inc.|10.48
TAMARIND ICE BAR, TAMARIND|Beach Sports, Inc.|2.07
SEAFOOD FESTIVAL|Beaver Street Fisheries Inc.|10.48
PORK, SAUSAGE LINK 1 OZ|Beaver Street Fisheries Inc.|5.97
WILD CAUGHT AMERICAN SHRIMP|Beaver Street Fisheries|10.48
BREADED SWAI|Beaver Street Fisheries Inc.|10.48
ULTRA DRIED APRICOTS|Bay Valley Foods, LLC|4.19
HEART HEALTHY BLEND|Bay Valley Foods, LLC|4.19
MANGO CRUSTED SWAI|Beaver Street Fisheries Inc.|10.48
